id_ruta,id_centro,id_vehiculo,km_ruta,n_paradas,alumnos_ruta,plazas_ordinarias,ocupacion_pct
C1-R1,1,1,1.2990157027424938,2,16,20,80
C1-R2,1,2,2.04236768584755,2,27,30,90
C1-R3,1,3,3.099830154280906,2,20,40,50
C2-R1,2,1,2.1427739405070554,2,19,20,95
C2-R2,2,2,4.803093519441929,3,30,30,100
C3-R1,3,1,1.7570957968874719,3,14,20,70
C3-R2,3,2,2.715222942490228,3,30,30,100
C4-R1,4,1,1.01967038171717,2,20,20,100
C4-R2,4,2,2.8537681889820417,3,25,30,83.33333333333334
C4-R3,4,3,1.3056962563604106,2,29,40,72.5
C5-R1,5,1,4.247131418136551,3,19,20,95
C5-R2,5,2,3.818941443654914,2,23,30,76.66666666666667
C6-R1,6,1,2.6250438600705235,2,19,20,95
C6-R2,6,2,2.180069335846968,2,28,30,93.33333333333333
