id_parada,id_centro,nombre_parada,lat,lon,alumnos
1,1,Parada CEIP Es Pilari 1,39.56761843388755,2.5979214835369007,12
2,1,Parada CEIP Es Pilari 2,39.5979121981504,2.6122038492653483,14
3,1,Parada CEIP Es Pilari 3,39.589699231030494,2.6119999431832044,6
4,1,Parada CEIP Es Pilari 4,39.574201110372314,2.6113213143124576,8
5,1,Parada CEIP Es Pilari 5,39.6029045326693,2.609726024382009,13
6,1,Parada CEIP Es Pilari 6,39.59297632427418,2.608109353175259,10
7,2,Parada CEIP Son Ferriol 1,39.562186512202146,2.98927524460391,11
8,2,Parada CEIP Son Ferriol 2,39.57906870912511,2.984085233958472,9
9,2,Parada CEIP Son Ferriol 3,39.552941063129204,3.0002586121031087,5
10,2,Parada CEIP Son Ferriol 4,39.56887818765245,2.9947269276792556,10
11,2,Parada CEIP Son Ferriol 5,39.56899726129423,3.020190955424659,14
12,3,Parada CEIP Camp Redo 1,39.6962237013331,2.6608209625800447,8
13,3,Parada CEIP Camp Redo 2,39.69069458726361,2.660182372459623,14
14,3,Parada CEIP Camp Redo 3,39.6917996351624,2.676686210874181,6
15,3,Parada CEIP Camp Redo 4,39.69376401013059,2.678422384520883,3
16,3,Parada CEIP Camp Redo 5,39.68318045490016,2.6736799178980957,8
17,3,Parada CEIP Camp Redo 6,39.68520984773344,2.6841110767918868,5
18,4,Parada CEIP Rafal Vell 1,39.57076494146594,2.5671970410594698,6
19,4,Parada CEIP Rafal Vell 2,39.56325915990051,2.5720442919820328,14
20,4,Parada CEIP Rafal Vell 3,39.55510505689943,2.5618080835301464,14
21,4,Parada CEIP Rafal Vell 4,39.5599815367161,2.563518835808563,15
22,4,Parada CEIP Rafal Vell 5,39.55394077574435,2.5602193165025677,5
23,4,Parada CEIP Rafal Vell 6,39.55398557217096,2.5789945108015258,11
24,4,Parada CEIP Rafal Vell 7,39.558835937930205,2.574633116182866,9
25,5,Parada CEIP Verge de Lluc 1,39.61185778595075,2.711131955332145,8
26,5,Parada CEIP Verge de Lluc 2,39.63572048824558,2.7016433088376695,13
27,5,Parada CEIP Verge de Lluc 3,39.61218954381745,2.705435480876959,6
28,5,Parada CEIP Verge de Lluc 4,39.64564065477942,2.717042964151229,10
29,5,Parada CEIP Verge de Lluc 5,39.63778398637744,2.711000057099802,5
30,6,Parada CEIP Gabriel Vallseca 1,39.59858271278835,3.048415660950238,13
31,6,Parada CEIP Gabriel Vallseca 2,39.59948061851937,3.033079040823901,15
32,6,Parada CEIP Gabriel Vallseca 3,39.59039520366329,3.0240629572468474,8
33,6,Parada CEIP Gabriel Vallseca 4,39.60992747032708,3.0290711610221868,11
