id_ruta,id_centro,id_vehiculo,orden_parada,id_parada,nombre_parada,alumnos,lat,lon,tramo_km
C1-R1,1,1,1,6,Parada CEIP Es Pilari 6,10,39.59297632427418,2.608109353175259,0.8051286966886586
C1-R1,1,1,2,3,Parada CEIP Es Pilari 3,6,39.589699231030494,2.6119999431832044,0.4938870060538352
C1-R2,1,2,1,2,Parada CEIP Es Pilari 2,14,39.5979121981504,2.6122038492653483,1.448037369538997
C1-R2,1,2,2,5,Parada CEIP Es Pilari 5,13,39.6029045326693,2.609726024382009,0.5943303163085528
C1-R3,1,3,1,4,Parada CEIP Es Pilari 4,8,39.574201110372314,2.6113213143124576,1.7378780720440081
C1-R3,1,3,2,1,Parada CEIP Es Pilari 1,12,39.56761843388755,2.5979214835369007,1.361952082236898
C2-R1,2,1,1,10,Parada CEIP Son Ferriol 4,10,39.56887818765245,2.9947269276792556,0.6881584132090235
C2-R1,2,1,2,8,Parada CEIP Son Ferriol 2,9,39.57906870912511,2.984085233958472,1.454615527298032
C2-R2,2,2,1,7,Parada CEIP Son Ferriol 1,11,39.562186512202146,2.98927524460391,0.9377222206072879
C2-R2,2,2,2,9,Parada CEIP Son Ferriol 3,5,39.5529410631292,3.0002586121031087,1.3940916178634055
C2-R2,2,2,3,11,Parada CEIP Son Ferriol 5,14,39.56899726129423,3.020190955424659,2.471279680971236
C3-R1,3,1,1,14,Parada CEIP Camp Redo 3,6,39.6917996351624,2.676686210874181,0.4244462748062832
C3-R1,3,1,2,15,Parada CEIP Camp Redo 4,3,39.69376401013059,2.678422384520883,0.26415603814901745
C3-R1,3,1,3,17,Parada CEIP Camp Redo 6,5,39.68520984773344,2.6841110767918868,1.0684934839321711
C3-R2,3,2,1,16,Parada CEIP Camp Redo 5,8,39.68318045490016,2.6736799178980957,0.6724759952520204
C3-R2,3,2,2,13,Parada CEIP Camp Redo 2,14,39.69069458726361,2.660182372459623,1.4255143934330172
C3-R2,3,2,3,12,Parada CEIP Camp Redo 1,8,39.6962237013331,2.6608209625800447,0.61723255380519
C4-R1,4,1,1,19,Parada CEIP Rafal Vell 2,14,39.56325915990051,2.5720442919820328,0.08736006818912148
C4-R1,4,1,2,18,Parada CEIP Rafal Vell 1,6,39.57076494146594,2.5671970410594698,0.9323103135280484
C4-R2,4,2,1,24,Parada CEIP Rafal Vell 7,9,39.558835937930205,2.574633116182866,0.5878167293887284
C4-R2,4,2,2,23,Parada CEIP Rafal Vell 6,11,39.55398557217096,2.5789945108015258,0.6562696297804279
C4-R2,4,2,3,22,Parada CEIP Rafal Vell 5,5,39.55394077574435,2.5602193165025677,1.6096818298128852
C4-R3,4,3,1,21,Parada CEIP Rafal Vell 4,15,39.5599815367161,2.563518835808563,0.7439722828690696
C4-R3,4,3,2,20,Parada CEIP Rafal Vell 3,14,39.55510505689943,2.5618080835301464,0.5617239734913411
C5-R1,5,1,1,25,Parada CEIP Verge de Lluc 1,8,39.61185778595075,2.711131955332145,0.8721653676321585
C5-R1,5,1,2,27,Parada CEIP Verge de Lluc 3,6,39.61218954381745,2.705435480876959,0.48936544404366833
C5-R1,5,1,3,29,Parada CEIP Verge de Lluc 5,5,39.63778398637744,2.711000057099802,2.8856006064607236
C5-R2,5,2,1,26,Parada CEIP Verge de Lluc 2,13,39.63572048824558,2.7016433088376695,2.0997741706671595
C5-R2,5,2,2,28,Parada CEIP Verge de Lluc 4,10,39.64564065477942,2.717042964151229,1.7191672729877545
C6-R1,6,1,1,32,Parada CEIP Gabriel Vallseca 3,8,39.59039520366329,3.0240629572468474,0.41117442093764883
C6-R1,6,1,2,33,Parada CEIP Gabriel Vallseca 4,11,39.60992747032708,3.0290711610221868,2.213869439132875
C6-R2,6,2,1,31,Parada CEIP Gabriel Vallseca 2,15,39.59948061851937,3.033079040823901,0.8622651596550208
C6-R2,6,2,2,30,Parada CEIP Gabriel Vallseca 1,13,39.59858271278835,3.048415660950238,1.3178041761919472
